code|wallet_address|minimal_deposit_amount|fee|comment
BTC|14PYfJnauYY2ugczKU2snKZg3rZV6WjAZz|0.001||Зачисление происходит автоматически после 1 подтверждения сетью
LTC|LL2FG8zNDJKGDKm5miaRfLipquSfBirpe5|0.001||Зачисление происходит автоматически после 1 подтверждения сетью
DOGE|DDyYv5RR2CC2adRKEzKHk5qfney1DZqH91|10||Зачисление происходит автоматически после 1 подтверждения сетью
DASH|Xp2sY4yN9rJHxy2h1Eb7MZP4ALKaLtuzzJ|0.01||Зачисление происходит автоматически после 1 подтверждения сетью
ETH|0x41f1f469250a7e654f8c4cd1e83d68a3df0f2ff5|0.01||Зачисление происходит автоматически после 1 подтверждения сетью
WAVES|3PBjVuA8P7jzB5LfZqZRHJBdYpxaG1PxeWG|0.01|Тип операции (Asset Transfer) должен быть 4. Транзакции другого типа зачислены не будут. Пожалуйста, будьте внимательны!|Зачисление происходит автоматически после 10 подтверждения сетью
ZEC|t1UqqbtxgtgRmyn95ovu27tTwTHyD82bmMx|0.01||Зачисление происходит автоматически после 20 подтверждения сетью
USDT|1BqN9vWEPjrjYiXqq6tFVu9gU3A7CPqCd8|10|Комиссия 15 USDT|Зачисление происходит автоматически после 2 подтверждения сетью
XMR|4Hm3YrYNgczRAP7jbGCZ7vA8XwbBR8DWMU7Bm9FKZqjxQXPPcwMP1kDbK3mtBSdt2c6TmLCPiMSXa39uBiEBwkg4FQPtx2Eeje6Gx5WPhh|0.1||
XRP|rUocf1ixKzTuEe34kmVhRvGqNCofY1NJzV|10|Destination tag: 1107801608|
KICK|0x0db16fc26d86a145d06c7bd76676549237538633|100|Комиссия 50 KICK|
ETC|0x0721a757a21dd4cc91428cf12bd4206d8d028fad|0.1||Зачисление происходит автоматически после 20 подтверждения сетью
BCH|1326AwPPCB9knP36hPG2g4fRZqM9jZgNUh|0.001||Зачисление происходит автоматически после 1 подтверждения сетью
